year,members
1919,75
1920,613
1921,945
1922,1255
1923,1441
1924,1709
1925,1880
1926,2186
1927,1476
1928,1505
1929,1762
1930,784
1931,593
1932,772
1933,1172
1934,1439
1935,1860
1936,2068
1937,1769
1938,1983
1939,2464
1940,1746
1941,1848
1942,155
1943,66
1944,60
1945,31
1946,19
1947,54
1948,31
1949,18
1950,17
1951,6
1952,27
1953,23
1954,1
1955,6
1956,13
1957,10
1958,18
1959,0
1960,5
1961,24
1962,2
