years,count
1970-1971,0
1972-1973,0
1974-1975,3
1976-1977,0
1978-1979,2
1980-1981,0
1982-1983,1
1984-1985,1
1986-1987,5
1988-1989,2
1990-1991,6
1992-1993,6
1994-1995,20
1996-1997,5
1998-1999,13
2000-2001,72
2002-2003,46
2004-2005,44
2006-2007,28
2008-2009,32
2010-2011,11
2012-2013,35
2014-2015,11
2016-2017,9
2018-2019,0
