years,count
1970-1971,0
1972-1973,1
1974-1975,0
1976-1977,0
1978-1979,0
1980-1981,0
1982-1983,1
1984-1985,1
1986-1987,0
1988-1989,0
1990-1991,1
1992-1993,0
1994-1995,6
1996-1997,2
1998-1999,4
2000-2001,28
2002-2003,28
2004-2005,82
2006-2007,220
2008-2009,112
2010-2011,75
2012-2013,46
2014-2015,90
2016-2017,34
2018-2019,0
